"team","location","run_percent","flag"
"MIN","away",0.450534759358289,"before"
"MIN","home",0.549465240641711,"before"
"MIN","away",0.490272373540856,"before"
"MIN","home",0.509727626459144,"before"
"MIN","away",0.484375,"before"
"MIN","home",0.515625,"before"
"MIN","away",0.50187265917603,"before"
"MIN","home",0.49812734082397,"before"
"MIN","away",0.478205128205128,"before"
"MIN","home",0.521794871794872,"before"
"MIN","away",0.494186046511628,"before"
"MIN","home",0.505813953488372,"before"
"MIN","away",0.474406991260924,"before"
"MIN","home",0.525593008739076,"before"
"MIN","away",0.544568245125348,"before"
"MIN","home",0.455431754874652,"before"
"MIN","away",0.480096501809409,"before"
"MIN","home",0.519903498190591,"before"
"MIN","away",0.471236230110159,"before"
"MIN","home",0.528763769889841,"before"
"MIN","away",0.489116517285531,"after"
"MIN","home",0.510883482714469,"after"
"MIN","away",0.531502423263328,"after"
"MIN","home",0.468497576736672,"after"
"MIN","away",0.477888730385164,"after"
"MIN","home",0.522111269614836,"after"
"MIN","away",0.506514657980456,"after"
"MIN","home",0.493485342019544,"after"
"MIN","away",0.485314685314685,"after"
"MIN","home",0.514685314685315,"after"
"MIN","away",0.464080459770115,"after"
"MIN","home",0.535919540229885,"after"
"MIN","away",0.518005540166205,"after"
"MIN","home",0.481994459833795,"after"
"MIN","away",0.484662576687117,"after"
"MIN","home",0.515337423312883,"after"
"MIN","away",0.462059620596206,"after"
"MIN","home",0.537940379403794,"after"
"MIN","away",0.529286474973376,"after"
"MIN","home",0.470713525026624,"after"
"MIN","away",0.479553903345725,"after"
"MIN","home",0.520446096654275,"after"
